iter	Passed	Remaining
266	382	1051
267	384	1049
268	385	1046
269	386	1044
270	387	1041
271	388	1038
272	389	1036
273	390	1033
274	391	1030
275	391	1028
276	392	1025
277	393	1022
278	394	1019
279	395	1017
280	396	1014
281	397	1011
282	398	1008
283	399	1006
284	400	1003
285	400	1000
286	401	998
287	402	995
288	403	992
289	404	990
290	405	987
291	406	985
292	407	982
293	408	980
294	409	977
295	409	975
296	411	972
297	411	970
298	412	967
299	413	965
300	414	962
301	415	960
302	416	957
303	417	955
304	418	952
305	418	950
306	419	947
307	420	945
308	421	942
309	422	940
310	423	938
311	424	935
312	425	933
313	426	931
314	427	928
315	428	926
316	429	924
317	429	921
318	430	919
319	431	917
320	432	915
321	433	912
322	434	910
323	435	908
324	436	906
325	437	904
326	438	902
327	439	900
328	440	897
329	441	895
330	442	893
331	442	891
332	443	888
333	444	886
334	445	884
335	446	882
336	447	880
337	448	878
338	449	875
339	450	873
340	451	871
341	452	870
342	453	868
343	454	866
344	455	864
345	456	863
346	457	861
347	458	859
348	459	857
349	460	855
350	461	853
351	462	851
352	463	849
353	464	847
354	465	846
355	466	844
356	467	842
357	468	840
358	469	838
359	470	836
360	471	835
361	472	833
362	473	831
363	474	829
364	475	827
365	476	826
366	478	824
367	479	822
368	480	821
369	481	819
370	482	817
371	483	815
372	484	814
373	485	812
374	486	810
375	487	809
376	488	807
377	489	805
378	490	804
379	491	802
380	492	800
381	494	800
382	495	798
383	496	796
384	497	795
385	498	793
386	499	791
387	500	790
388	501	788
389	502	786
390	503	784
391	504	783
392	505	781
393	506	779
394	507	777
395	509	776
396	510	775
397	511	773
398	512	771
399	513	770
400	514	768
401	515	767
402	516	765
403	517	763
404	518	762
405	519	760
406	521	759
407	522	757
408	523	756
409	524	754
410	525	753
411	526	751
412	527	749
413	528	748
414	529	746
415	530	745
416	531	743
417	532	741
418	533	740
419	534	738
420	535	736
421	536	735
422	538	733
423	539	732
424	540	730
425	541	729
426	542	727
427	543	725
428	544	724
429	545	722
430	546	721
431	547	719
432	548	717
433	549	716
434	550	714
435	551	713
436	552	711
437	553	710
438	554	708
439	555	706
440	556	705
441	557	703
442	558	702
443	559	700
444	560	699
445	561	697
446	562	696
447	563	694
448	565	693
449	566	692
450	567	690
451	568	689
452	569	687
453	570	686
454	571	684
455	572	683
456	573	681
457	574	679
458	575	678
459	576	676
460	577	675
461	578	673
462	579	672
463	580	671
464	582	669
465	583	668
466	584	666
467	585	665
468	586	663
469	587	662
470	588	660
471	589	658
472	590	657
473	591	655
474	592	654
475	593	653
476	594	651
477	595	650
478	596	648
479	597	647
480	598	645
481	599	644
482	600	642
483	601	641
484	602	640
485	603	638
486	604	637
487	605	635
488	606	634
489	608	632
490	609	631
491	610	630
492	611	628
493	612	627
494	613	625
495	614	624
496	615	622
497	616	621
498	617	619
499	618	618
500	619	617
501	620	615
502	621	614
503	622	612
504	623	611
505	624	610
506	625	608
507	626	607
508	628	605
509	629	604
510	630	602
511	631	601
512	632	600
513	633	598
514	634	597
515	635	596
516	636	594
517	637	593
518	638	592
519	639	590
520	641	589
521	642	587
522	643	586
523	644	585
524	645	583
525	646	582
526	647	581
527	648	579
528	649	578
529	650	577
530	651	575
531	652	574
532	653	572
533	654	571
534	656	570
535	657	568
536	657	567
537	658	565
538	659	564
539	660	562
540	661	561
541	662	560
542	663	558
543	664	557
544	665	555
545	666	554
546	667	552
547	668	551
548	669	549
549	670	548
550	671	547
551	672	545
552	673	544
553	674	542
554	675	541
555	676	540
556	677	538
557	678	537
558	679	536
559	680	534
560	681	533
561	682	531
562	683	530
563	684	529
564	685	527
565	686	526
566	687	524
567	688	523
568	688	521
569	689	520
570	691	519
571	692	517
572	693	516
573	694	515
574	695	513
575	696	512
576	697	511
577	698	509
578	699	508
579	699	506
580	700	505
581	701	504
582	702	502
583	703	501
584	705	500
585	706	498
586	707	497
587	707	496
588	708	494
589	709	493
590	710	491
591	711	490
592	712	489
593	713	487
594	714	486
595	715	485
596	716	483
597	717	482
598	718	481
599	719	479
600	720	478
601	721	477
602	722	475
603	723	474
604	724	473
605	725	472
606	727	470
607	727	469
608	728	468
609	729	466
610	731	465
611	731	464
612	732	462
613	734	461
614	735	460
615	736	459
616	737	457
617	738	456
618	739	455
619	740	453
620	741	452
621	742	451
622	743	449
623	744	448
624	745	447
625	746	445
626	746	444
627	747	442
628	748	441
629	749	440
630	750	439
631	751	437
632	752	436
633	753	435
634	754	433
635	755	432
636	756	431
637	757	429
638	758	428
639	759	427
640	760	425
641	761	424
642	762	423
643	763	422
644	764	420
645	765	419
646	766	418
647	767	416
648	768	415
649	769	414
650	770	412
651	771	411
652	772	410
653	773	408
654	773	407
655	774	406
656	776	405
657	776	403
658	777	402
659	778	401
660	779	400
661	780	398
662	781	397
663	782	396
664	783	394
665	784	393
666	785	392
667	786	391
668	787	389
669	788	388
670	790	387
671	791	386
672	792	384
673	793	383
674	793	382
675	794	381
676	795	379
677	796	378
678	797	377
679	798	375
680	799	374
681	800	373
682	801	372
683	802	370
684	803	369
685	804	368
686	806	367
687	807	366
688	808	364
689	809	363
690	810	362
691	811	361
692	812	359
693	813	358
694	814	357
695	815	356
696	816	354
697	817	353
698	818	352
699	819	351
700	820	350
701	821	348
702	822	347
703	823	346
704	825	345
705	825	343
706	826	342
707	827	341
708	828	340
709	830	339
710	831	337
711	832	336
712	833	335
713	834	334
714	835	333
715	836	331
716	837	330
717	838	329
718	839	328
719	840	326
720	841	325
721	842	324
722	843	323
723	845	322
724	846	321
725	847	319
726	848	318
727	850	317
728	851	316
729	852	315
730	853	313
731	854	312
732	855	311
733	856	310
734	857	309
735	858	307
736	859	306
737	860	305
738	861	304
739	862	303
740	863	301
741	864	300
742	865	299
743	866	298
744	867	296
745	868	295
746	869	294
747	870	293
748	871	291
749	872	290
750	873	289
751	874	288
752	875	287
753	876	285
754	877	284
755	878	283
756	879	282
757	880	281
758	881	279
759	882	278
760	883	277
761	884	276
762	885	274
763	886	273
764	887	272
765	888	271
766	889	270
767	890	268
768	891	267
769	892	266
770	893	265
771	894	264
772	895	262
773	896	261
774	897	260
775	898	259
776	899	258
777	900	256
778	901	255
779	902	254
780	903	253
781	904	252
782	906	251
783	906	249
784	908	248
785	909	247
786	910	246
787	911	245
788	912	243
789	913	242
790	914	241
791	915	240
792	916	239
793	917	238
794	918	236
795	919	235
796	920	234
797	921	233
798	922	232
799	923	230
800	924	229
801	925	228
802	926	227
803	927	226
804	928	224
805	929	223
806	930	222
807	931	221
808	932	220
809	932	218
810	933	217
811	934	216
812	935	215
813	936	214
814	937	212
815	938	211
816	939	210
817	940	209
818	941	208
819	942	206
820	943	205
821	944	204
822	945	203
823	946	202
824	947	200
825	948	199
826	949	198
827	950	197
828	951	196
829	952	195
830	953	193
831	954	192
832	955	191
833	956	190
834	957	189
835	958	187
836	959	186
837	960	185
838	961	184
839	962	183
840	963	182
841	964	180
842	965	179
843	965	178
844	966	177
845	967	176
846	968	175
847	969	173
848	970	172
849	971	171
850	972	170
851	973	169
852	974	168
853	975	166
854	976	165
855	977	164
856	978	163
857	979	162
858	980	160
859	981	159
860	982	158
861	983	157
862	984	156
863	985	155
864	986	153
865	987	152
866	988	151
867	989	150
868	990	149
869	990	148
870	991	146
871	992	145
872	993	144
873	994	143
874	995	142
875	996	141
876	997	139
877	998	138
878	999	137
879	1000	136
880	1001	135
881	1002	134
882	1003	133
883	1004	131
884	1005	130
885	1006	129
886	1007	128
887	1008	127
888	1009	126
889	1010	124
890	1011	123
891	1013	122
892	1014	121
893	1015	120
894	1015	119
895	1016	118
896	1017	116
897	1018	115
898	1019	114
899	1020	113
900	1021	112
901	1022	111
902	1023	109
903	1024	108
904	1025	107
905	1026	106
906	1027	105
907	1028	104
908	1029	103
909	1030	101
910	1031	100
911	1032	99
912	1033	98
913	1034	97
914	1035	96
915	1036	95
916	1037	93
917	1038	92
918	1039	91
919	1040	90
920	1041	89
921	1042	88
922	1043	87
923	1044	85
924	1045	84
925	1046	83
926	1047	82
927	1047	81
928	1048	80
929	1049	79
930	1050	77
931	1051	76
932	1052	75
933	1053	74
934	1054	73
935	1055	72
936	1056	71
937	1057	69
938	1058	68
939	1059	67
940	1060	66
941	1061	65
942	1062	64
943	1063	63
944	1064	61
945	1065	60
946	1066	59
947	1067	58
948	1068	57
949	1070	56
950	1071	55
951	1072	54
952	1073	52
953	1074	51
954	1075	50
955	1076	49
956	1077	48
957	1078	47
958	1079	46
959	1080	45
960	1081	43
961	1082	42
962	1083	41
963	1084	40
964	1085	39
965	1086	38
966	1088	37
967	1089	36
968	1090	34
969	1091	33
970	1092	32
971	1093	31
972	1094	30
973	1095	29
974	1096	28
975	1097	26
976	1098	25
977	1099	24
978	1100	23
979	1101	22
980	1102	21
981	1103	20
982	1105	19
983	1106	17
984	1107	16
985	1108	15
986	1109	14
987	1110	13
988	1111	12
989	1112	11
990	1113	10
991	1114	8
992	1115	7
993	1116	6
994	1117	5
995	1118	4
996	1119	3
997	1120	2
998	1121	1
999	1122	0
